Genre,Avg_Valence,Avg_Danceability,Avg_Energy,Avg_Key,Avg_Loudness,Avg_Mode,Avg_Speechiness,Avg_Acousticness,Avg_Instrumentallness,Avg_Liveness,Avg_Tempo
Drama,0.54190855,0.53369553,0.52348219,5.24261057,-10.8549861,0.69874582,0.06143067,0.44889502,0.12320976,0.20200298,118.1590384
Action,0.55822297,0.55558889,0.64420936,5.48116181,-9.71510568,0.68656092,0.07242495,0.2849095,0.12951305,0.21049545,120.759472
Thriller,0.52422827,0.53806424,0.58173376,5.44260682,-10.37645371,0.65690299,0.06419521,0.33148898,0.15776573,0.20037452,121.3764961
Comedy,0.59737491,0.56160373,0.5691735,5.15234072,-10.07187085,0.71955048,0.06600254,0.40887403,0.11038728,0.20349378,119.8477587
Documentary,0.54854378,0.51020189,0.54199351,5.29182561,-10.9297733,0.7542976,0.06909994,0.44506676,0.16587209,0.23078072,117.9968795
Crime,0.55410462,0.55149736,0.57799242,5.34628311,-10.24028111,0.67385123,0.06955111,0.34913067,0.14799897,0.20122856,119.2390955
Music,0.55808349,0.53963406,0.57013684,5.0435607,-10.50902508,0.73006164,0.06999924,0.40354627,0.12851149,0.23811818,120.4864764
Horror,0.5139226,0.502642,0.6476727,5.3499873,-9.7739409,0.6747471,0.069108,0.2620157,0.2128271,0.2128667,125.3263327
Family,0.56692649,0.54458099,0.5474301,5.37284353,-10.67094125,0.79168442,0.06446416,0.43018173,0.11666454,0.194674,119.5723312
Fantasy,0.5322933,0.53607857,0.57463615,4.87549878,-10.02588563,0.75042901,0.06363934,0.38389827,0.14668715,0.20157741,116.8337856
Biography,0.55666181,0.51469144,0.471402,4.77489382,-11.66470945,0.74351087,0.07065643,0.53835886,0.14174758,0.20353136,118.7295297
Sport,0.61118725,0.56918823,0.63386537,5.29779002,-9.80426379,0.72423609,0.07200789,0.28231394,0.1212567,0.21693023,122.6244645
Adventure,0.53382171,0.53952903,0.5879851,5.15062873,-10.19703107,0.74404342,0.06422555,0.34822364,0.12257195,0.2040527,119.384448
Musical,0.58790895,0.51387513,0.48483461,5.24317586,-10.454346,0.69595994,0.06278817,0.63111176,0.06714418,0.22688079,115.533469
Animation,0.50373442,0.51807009,0.55148171,5.20200088,-10.54909546,0.7180061,0.06825995,0.41596119,0.0756134,0.20116733,120.7166051
Short,0.55355054,0.51015419,0.48201633,5.52363238,-11.36739007,0.71921713,0.06639877,0.55932726,0.1758473,0.18743346,117.8784962
Sci-Fi,0.5430101,0.53588927,0.64113207,5.38291097,-9.93500111,0.72583538,0.06456102,0.26498998,0.18201812,0.21122278,122.5405177
Mystery,0.48752108,0.50601365,0.5222671,5.28556563,-11.00876938,0.63921127,0.06257329,0.43221847,0.17906954,0.18246474,117.6450657
Romance,0.54850344,0.54082108,0.52209839,5.1340802,-10.76603602,0.71717713,0.05692024,0.45430347,0.10752186,0.19878065,118.1448782
Western,0.57699928,0.52503752,0.43080087,5.29393939,-10.8890342,0.91486291,0.05595117,0.59614881,0.04633331,0.18986857,110.8394307
History,0.52656114,0.49207968,0.42323478,5.35440434,-12.57494169,0.77484403,0.06517886,0.6540045,0.15046772,0.23949543,114.6569311
Adult,0.5551813,0.50104088,0.54502674,5.55919848,-11.6764758,0.6914791,0.06052712,0.32894161,0.30042112,0.19898458,119.6122577
Game-Show,0.69074,0.514,0.47,4.6,-13.1068,0.6,0.04336,0.5916,0.82,0.27172,118.0166
News,0.54566667,0.517,0.45,2.33333333,-10.137,1,0.03603333,0.548,0.27734367,0.10973333,99.23233333
Reality-TV,0.7704,0.7281,0.8073,7.1,-4.3631,0.8,0.04596,0.19211,0.4460705,0.3254,94.9035
War,0.56419039,0.50800227,0.42418436,5.05927128,-11.62712464,0.71681097,0.05555989,0.64946274,0.12356593,0.27058029,122.4648394
