Title,Genre_1,Genre_2,Genre_3,Num_Tracks,Avg_Valence,Avg_Danceability,Avg_Energy,Avg_Key,Avg_Loudness,Avg_Mode,Avg_Speechiness,Avg_Acousticness,Avg_Instrumentallness,Avg_Liveness,Avg_Tempo,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lekin...,Drama,Fantasy,Musical,1,0.289,0.42,0.183,1,-15.676,0,0.0307,0.759,5.78E-05,0.232,85.066,Yaara Sili Sili Biraha Ki Raat Ka Jalna ,Lata Mangeshkar,Jhoote Naina Bole ,Asha Bhosle and Satya Sheel Deshpande ,Main Ek Sadi Se ,Lata Mangeshkar ,Ja Ja Re ,Hridaynath Mangeshkar (as Pt. Hridaynath Mangeshkar) and Lata Mangeshkar ,Surmai Sham ,Suresh Wadkar ,Suniyo Ji ,Lata Mangeshkar ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty & Bash,Action,Crime,Drama,1,0.193,0.522,0.0221,7,-26.157,1,0.0371,0.797,0.885,0.109,128.047,Trouble with Lowing ,Laura Creamer,Frkn 'n' Rkn ,Kyle Johnson,Don't Fool with Me ,Mick Smiley,Problems ,Mick Smiley,Sedona's Serenade ,Freeway Philharmonic,Ultra Zoo ,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Sweetheart,Thriller,N/A,N/A,1,0.923,0.701,0.833,7,-5.877,0,0.0426,0.0152,0.783,0.0399,130.466,I Was Born To Cry ,Pattie Palladin & Johnny Thunders,Oyster Blues ,Cactus Axe,Reach for the Night ,When in Rome,Take My Body (And I Will Take Your Love) ,Tracy Ackerman,Eat You Up ,Angie Gold,Radio City ,Colin Elswood (misspelled as Colin Elsewood in the end credits),Too Rich ,Raf Ravenscroft & Julian Lippman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Long Walk Home,Drama,History,N/A,2,0.4355,0.5575,0.465,8.5,-8.7155,1,0.0335,0.7295,0,0.123,108.605,PICNIC ,The McGuire Sisters ,MISTER SANDMAN ,The Chordettes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longtime Companion,Drama,Romance,N/A,4,0.818,0.6735,0.554,10.75,-10.1305,0.5,0.041725,0.257,0.25705,0.1537,105.217,The Tide Is High ,Blondie ,Bourée ,Ensemble Ars Rediviva (as Ars rediviva) ,Walking on Sunshine ,Katrina & The Waves (as Katrina and the Waves) ,Things That Dreams Are Made Of ,The Human League ,Looking at My Secret Love ,Stephen C. Cheng ,Casta Diva ,Jona Sova and the Ceská Filharmonie (as the Czech Philharmonic Orchestra) ,Here Comes Grover ,The Nuff Brothers,Y.M.C.A. ,The Finger Lakes Trio,Do You Wanna Funk ,Sylvester ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Look Who's Talking Too,Comedy,Family,Romance,9,0.636111111,0.573888889,0.587688889,5.222222222,-9.765222222,0.888888889,0.062611111,0.481639222,0.000136536,0.269555556,111.6725556,All Shook Up ,Elvis Presley ,Are You Lonesome Tonight ,Elvis Presley ,Catch Us If You Can ,The Dave Clark Five ,The Glamour Boys ,Living Colour ,Got My Mind Set On You ,George Harrison ,I Enjoy Being A Girl ,Jodi Benson,I Got You Babe ,Sonny & Cher ,Minnie The Moocher ,Cab Calloway,Please Mr. Postman ,The Marvelettes ,Rebel Yell ,Billy Idol ,Sea of Love ,Phil Phillips (as Phil Philips) ,Wherever Would I Be ,Cheap Trick ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love or Money,Comedy,N/A,N/A,2,0.887,0.5545,0.6935,7.5,-9.435,1,0.0456,0.138315,0.079652,0.0986,141.7385,Gimme Some Lovin' ,Nicholas Tremulis (as Nicholas Tremulis Band) ,Can't Promise You The World ,Drivin' 'N' Cryin' ,Book Of Rules ,The Heptones ,Surfbeat ,Dick Dale & His Del-Tones ,When It Comes ,Velvet Elvis ,The Cat's Away ,World At A Glance ,In Spite Of These Times ,Close Lobsters ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhouse,Comedy,N/A,N/A,2,0.7695,0.594,0.753,8,-10.021,1,0.04235,0.1425,0.00397,0.21735,105.2275,Madhouse' ,Martha Davis,Try ,David Shells,Someone To Love Me ,ZZ Hill,Joy Ride ,Raging Slab,Don't Dog Me ,Raging Slab,Black and Sleazy ,Alan Satchwell and Steve Schiff,Bernadette ,The Four Tops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madonna: Blond Ambition World Tour Live,Documentary,Music,N/A,16,0.6630625,0.696375,0.7223125,4.625,-7.7194375,0.625,0.0592625,0.248036875,0.001931729,0.148775,119.1180625,Express Yourself ,Madonna ,Open Your Heart ,Madonna,Causing a Commotion ,Madonna,Where's the Party ,Madonna,Like a Virgin ,Madonna,Like a Prayer ,Madonna,Live to Tell ,Madonna,Oh Father ,Madonna,Papa Don't Preach ,Madonna,Sooner or Later ,Madonna,Hanky Panky ,Madonna,Now I'm Following You ,Madonna and Warren Beatty,Material Girl ,Madonna,Cherish ,Madonna,Into the Groove ,Madonna ,Vogue ,Madonna,Holiday ,Madonna ,Family Affair / Keep It Together ,Madonna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When Love Calls,Drama,Musical,Romance,5,0.6168,0.4758,0.5178,7,-10.3726,0.8,0.05056,0.778,0.0137228,0.23524,95.1672,Aaja Sham Hone Aayi ,Lata Mangeshkar and S.P. Balasubrahmanyam ,Aate Jaate Hanste Gaate ,Lata Mangeshkar and S.P. Balasubrahmanyam ,Aaya Mausam Dosti Ka ,Lata Mangeshkar. Usha Mangeshkar. Shailendra Singh and S.P. Balasubrahmanyam ,Antakshari ,Lata Mangeshkar. Usha Mangeshkar. Shailendra Singh and S.P. Balasubrahmanyam ,Dil Deewana ,Lata Mangeshkar ,Dil Deewana - II ,Lata Mangeshkar and S.P. Balasubrahmanyam ,Dil Deewana - III ,S.P. Balasubrahmanyam ,Kabootar Ja Ja Ja ,Lata Mangeshkar and S.P. Balasubrahmanyam ,Kahe Toh Se Sajna ,Shraddha Sinha ,Maine Pyaar Kiya ,Lata Mangeshkar and S.P. Balasubrahmanyam ,Mere Rang Mein Rangne Waali ,S.P. Balasubrahmanyam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
